"","OBJECTID","post_2","Shape_Leng","Shape_Area","arsenal","astonvilla","chelsea","everton","fulham","liverpool","manchestercity","manchesterunited","newcastleunited","norwichcity","queensparkrangers","random","reading","southampton","stokecity","sunderland","swanseacity","tottenhamhotspur","westbromwichalbion","westhamunited","wiganathletic","arsenal_lq","arsenal_norm","astonvilla_lq","astonvilla_norm","chelsea_lq","chelsea_norm","everton_lq","everton_norm","fulham_lq","fulham_norm","liverpool_lq","liverpool_norm","manchestercity_lq","manchestercity_norm","manchesterunited_lq","manchesterunited_norm","newcastleunited_lq","newcastleunited_norm","norwichcity_lq","norwichcity_norm","queensparkrangers_lq","queensparkrangers_norm","random_lq","random_norm","reading_lq","reading_norm","southampton_lq","southampton_norm","stokecity_lq","stokecity_norm","sunderland_lq","sunderland_norm","swanseacity_lq","swanseacity_norm","tottenhamhotspur_lq","tottenhamhotspur_norm","westbromwichalbion_lq","westbromwichalbion_norm","westhamunited_lq","westhamunited_norm","wiganathletic_lq","wiganathletic_norm"
"0",1,"AB",6.81487995343,1.14727361426,46,12,29,73,5,42,75,63,25,5,141,683,3,5,1,10,2,33,28,38,2,0.853018975965502,0.000168374816983895,0.466616349734323,4.39238653001464e-05,0.630795315487962,0.00010614934114202,0.793141738340384,0.000267203513909224,0.689945266384453,1.83016105417277e-05,0.49256176297033,0.000153733528550512,0.795781139851418,0.000274524158125915,0.764045387994144,0.000230600292825769,0.915375219238682,9.15080527086384e-05,0.38760419439638,1.83016105417277e-05,3.49615109064627,0.00051610541727672,1,0.0025,0.839610316477081,1.09809663250366e-05,0.507671354148933,1.83016105417277e-05,0.0944198452785645,3.66032210834553e-06,0.831930953826376,3.66032210834553e-05,0.282770313839431,7.32064421669107e-06,0.494159453654366,0.000120790629575403,0.835935873078932,0.000102489019033675,0.539499865166074,0.00013909224011713,0.342698088357992,7.32064421669107e-06
"1",2,"AL",1.21961693641,0.0389081141085,47,6,16,32,3,20,38,28,10,7,16,345,0,2,2,1,1,67,13,43,2,1.72544184924188,0.000340579710144928,0.461882560679048,4.34782608695652e-05,0.688988626452019,0.000115942028985507,0.688302792661006,0.000231884057971014,0.81953498598362,2.17391304347826e-05,0.464347390074169,0.000144927536231884,0.798210771157631,0.00027536231884058,0.672261513687601,0.000202898550724638,0.724871043176835,7.2463768115942e-05,1.07428153820817,5.07246376811594e-05,0.785403209344896,0.000115942028985507,1,0.0025,0,0,0.402016852039097,1.44927536231884e-05,0.373847851160925,1.44927536231884e-05,0.164698214916932,7.2463768115942e-06,0.279901629496133,7.2463768115942e-06,1.9862301939989,0.000485507246376812,0.768351409634351,9.42028985507246e-05,1.20858669260583,0.000311594202898551,0.67844288216959,1.44927536231884e-05
"2",3,"B1",0.816914558045,0.0073334331245,14,49,13,21,3,21,20,30,7,2,8,252,0,3,3,3,1,16,37,10,0,0.703637633556084,0.000138888888888889,5.16410362981435,0.000486111111111111,0.766397318858459,0.000128968253968254,0.618397040281372,0.000208333333333333,1.1219824212871,2.97619047619048e-05,0.667499373231618,0.000208333333333333,0.575151871448168,0.000198412698412698,0.986097883597884,0.000297619047619048,0.694668083044467,6.94444444444444e-05,0.420212166305916,1.98412698412698e-05,0.537627196872994,7.93650793650794e-05,1,0.0025,0,0,0.825570321151716,2.97619047619048e-05,0.767723265776899,2.97619047619048e-05,0.676439096980255,2.97619047619048e-05,0.383198659429229,9.92063492063492e-06,0.649371634143208,0.000158730158730159,2.9938967472474,0.000367063492063492,0.384793659052244,9.92063492063492e-05,0,0
"3",4,"B2",1.24392610211,0.00801093670499,10,57,13,18,2,31,32,24,9,4,13,225,3,1,4,5,2,10,40,23,0,0.562910106844867,0.000111111111111111,6.72808930055813,0.000633333333333333,0.858364997121474,0.000144444444444444,0.593661158670117,2e-04,0.837746874561034,2.22222222222222e-05,1.10359896374294,0.000344444444444444,1.03067215363512,0.000355555555555556,0.883543703703704,0.000266666666666667,1.00032203958403,1e-04,0.941275252525253,4.44444444444444e-05,0.97848149830885,0.000144444444444444,1,0.0025,2.54868376068376,3.33333333333333e-05,0.308212919896641,1.11111111111111e-05,1.14646674356017,4.44444444444444e-05,1.26268631436314,5.55555555555556e-05,0.858364997121474,2.22222222222222e-05,0.454560143900245,0.000111111111111111,3.62504254801848,0.000444444444444444,0.99122846571858,0.000255555555555556,0,0
"4",5,"B3",1.18064936387,0.011967727993,13,72,8,34,1,23,52,27,9,1,8,231,1,0,8,3,2,16,35,19,0,0.712775784641228,0.000140692640692641,8.27789524333878,0.000779220779220779,0.514504493779105,8.65800865800866e-05,1.09223373348398,0.000367965367965368,0.407993607740763,1.08225108225108e-05,0.797531718666349,0.000248917748917749,1.63133985356208,0.000562770562770563,0.968168831168831,0.000292207792207792,0.974339648945486,9.74025974025974e-05,0.229206636166863,1.08225108225108e-05,0.586502396588721,8.65800865800866e-05,1,0.0025,0.827494727494728,1.08225108225108e-05,0,0,2.23337677316916,8.65800865800866e-05,0.737933560342097,3.24675324675325e-05,0.836069802391046,2.16450216450216e-05,0.708405419065318,0.000173160173160173,3.08952489887938,0.000378787878787879,0.797572311490105,0.000205627705627706,0,0
"5",6,"B4",2.12505310051,0.0300811959345,10,48,4,12,0,15,34,23,3,1,8,202,0,2,4,0,0,7,25,19,0,0.627003831881659,0.000123762376237624,6.31087063106026,0.000594059405940594,0.294184500155874,4.95049504950495e-05,0.440837494061968,0.000148514851485149,0,0,0.594801421691541,0.000185643564356436,1.21977753330889,0.000420792079207921,0.943139163916392,0.000284653465346535,0.371406697865358,3.71287128712871e-05,0.262112539378938,1.23762376237624e-05,0.670703235702943,9.9009900990099e-05,1,0.0025,0,0,0.686612940363804,2.47524752475248e-05,1.27700503614375,4.95049504950495e-05,0,0,0,0,0.354421894377667,8.66336633663366e-05,2.52362182334207,0.000309405940594059,0.912075267100071,0.000235148514851485,0,0
"6",7,"B5",0.44967091903,0.003281576655,1,7,3,1,1,2,3,5,0,1,2,36,0,2,1,0,0,3,8,4,0,0.351818816778042,6.94444444444444e-05,5.16410362981435,0.000486111111111111,1.23802643815597,0.000208333333333333,0.206132346760457,6.94444444444444e-05,2.61795898300323,6.94444444444444e-05,0.444999582154412,0.000138888888888889,0.603909465020576,0.000208333333333333,1.1504475308642,0.000347222222222222,0,0,1.47074258207071,6.94444444444444e-05,0.94084759452774,0.000138888888888889,1,0.0025,0,0,3.85266149870801,0.000138888888888889,1.79135428681276,6.94444444444444e-05,0,0,0,0,0.85230026981296,0.000208333333333333,4.5313031850231,0.000555555555555556,1.07742224534628,0.000277777777777778,0,0
"7",8,"B6",1.47319591569,0.0236012275635,21,148,16,50,1,22,50,26,9,15,14,234,1,1,8,5,10,11,66,26,3,1.13664540805214,0.000224358974358974,16.7975238947808,0.00158119658119658,1.0158165646408,0.000170940170940171,1.5856334366189,0.000534188034188034,0.402762920462036,1.06837606837607e-05,0.75307621595362,0.000235042735042735,1.54848580774507,0.000534188034188034,0.920358024691358,0.000277777777777778,0.961848114984646,9.61538461538462e-05,3.39402134324009,0.00016025641025641,1.01322048641449,0.00014957264957265,1,0.0025,0.816885820731975,1.06837606837607e-05,0.296358576823693,1.06837606837607e-05,2.20474373761571,8.54700854700855e-05,1.21412145611841,5.34188034188034e-05,4.12675479385324,0.000106837606837607,0.480784767586798,0.000117521367521368,5.7512694271447,0.000705128205128205,1.07742224534628,0.000277777777777778,1.50040252787506,3.20512820512821e-05
"8",9,"B7",1.56726237595,0.0393536778595,19,81,25,43,2,53,60,37,10,10,21,366,2,8,12,9,2,17,147,40,1,0.657497460863882,0.000129781420765027,5.87764488077231,0.00055327868852459,1.0147757689803,0.000170765027322404,0.871838450232754,0.000293715846994536,0.515008324525226,1.36612021857923e-05,1.15991694364838,0.000362021857923497,1.18801861971261,0.00040983606557377,0.837374924104432,0.000252732240437158,0.683280081683082,6.83060109289617e-05,1.4466320479384,6.83060109289617e-05,0.971695056643403,0.00014344262295082,1,0.0025,1.04454252487039,1.36612021857923e-05,1.51580124539332,5.46448087431694e-05,2.11438538771343,8.19672131147541e-05,1.39723485605758,6.14754098360656e-05,0.527683399869759,1.36612021857923e-05,0.475052609403945,0.000116120218579235,8.18977337948847,0.00100409836065574,1.05975958558651,0.000273224043715847,0.319757915776651,6.83060109289617e-06
"9",10,"B8",0.467420428707,0.0039886011675,11,43,10,26,3,16,24,23,7,5,10,216,1,1,3,3,1,11,19,17,1,0.645001164093077,0.000127314814814815,5.28705847814327,0.000497685185185185,0.687792465642207,0.000115740740740741,0.893240169295316,0.000300925925925926,1.30897949150162,3.47222222222222e-05,0.593332776205883,0.000185185185185185,0.805212620027435,0.000277777777777778,0.882009773662552,0.000266203703703704,0.810446096885211,8.10185185185185e-05,1.22561881839226,5.78703703703704e-05,0.78403966210645,0.000115740740740741,1,0.0025,0.884959639126306,1.15740740740741e-05,0.321055124892334,1.15740740740741e-05,0.895677143406382,3.47222222222222e-05,0.789178946476965,3.47222222222222e-05,0.447065102667434,1.15740740740741e-05,0.520850164885698,0.000127314814814815,1.79364084407164,0.000219907407407407,0.763174090453617,0.000196759259259259,0.541812023954881,1.15740740740741e-05
"10",11,"B9",1.85182594944,0.0451361975695,15,45,10,26,1,26,51,38,6,8,11,265,0,3,4,5,1,17,28,13,4,0.716913815321293,0.000141509433962264,4.50989104059259,0.000424528301886792,0.560615745580063,9.43396226415094e-05,0.728075005916182,0.000245283018867925,0.355647258068363,9.43396226415094e-06,0.785886054521754,0.000245283018867925,1.39468902865129,0.000481132075471698,1.18778280922432,0.000358490566037736,0.566220022406056,5.66037735849057e-05,1.59839193825043,7.54716981132076e-05,0.702972919684877,0.00010377358490566,1,0.0025,0,0,0.785070645019746,2.83018867924528e-05,0.973415159626559,3.77358490566038e-05,1.07209215370456,4.71698113207547e-05,0.364400234627041,9.43396226415094e-06,0.656110396384317,0.000160377358490566,2.15450642004872,0.000264150943396226,0.475692085681189,0.000122641509433962,1.76651165546044,3.77358490566038e-05
"11",12,"BA",4.03987672339,0.235756161137,32,9,35,57,0,55,55,51,13,2,25,476,0,10,5,2,2,36,27,36,1,0.851460665815766,0.000168067226890756,0.50215173351136,4.72689075630252e-05,1.09237626896115,0.000183823529411765,0.88862095704298,0.00029936974789916,0,0,0.925524341035436,0.000288865546218487,0.83735345990248,0.000288865546218487,0.887488095238095,0.000267857142857143,0.682992989211787,6.82773109243697e-05,0.222465264514897,1.05042016806723e-05,0.889456759532527,0.000131302521008403,1,0.0025,0,0,1.45688880203244,5.25210084033613e-05,0.677402881567852,2.62605042016807e-05,0.238743210698914,1.05042016806723e-05,0.405739757042713,1.05042016806723e-05,0.773516211258821,0.000189075630252101,1.15662465752165,0.000141806722689076,0.733371444311335,0.000189075630252101,0.245864279777845,5.25210084033613e-06
"12",13,"BB",2.15664223512,0.130215006105,27,10,29,90,2,71,75,80,21,9,22,588,1,2,7,5,4,32,19,44,3,0.581578044061661,0.000114795918367347,0.451670871412334,4.25170068027211e-05,0.732709524622922,0.000123299319727891,1.13583129847599,0.00038265306122449,0.320566406082028,8.50340136054422e-06,0.967192969376426,0.00030187074829932,0.92435122197027,0.000318877551020408,1.12696900982615,0.000340136054421769,0.893144678200029,8.92857142857143e-05,0.810409177875696,3.8265306122449e-05,0.633632053457458,9.35374149659864e-05,1,0.0025,0.325087214372929,4.25170068027211e-06,0.235877234614776,8.50340136054422e-06,0.767723265776899,2.97619047619048e-05,0.483170783557325,2.12585034013605e-05,0.656911987592965,1.70068027210884e-05,0.556604257837035,0.000136054421768707,0.65888847333244,8.07823129251701e-05,0.725610899927088,0.000187074829931973,0.597098965174767,1.27551020408163e-05
"13",14,"BD",3.00579448713,0.187358644848,56,12,27,62,5,59,99,107,13,6,33,567,2,5,6,4,2,25,11,30,8,1.25091134854415,0.000246913580246914,0.56207930664646,5.29100529100529e-05,0.70744367894627,0.000119047619047619,0.811441618993547,0.00027336860670194,0.831098089842295,2.20458553791887e-05,0.833491280860645,0.000260141093474427,1.26533411718597,0.000436507936507937,1.56314775622183,0.000471781305114638,0.573376830449401,5.73192239858907e-05,0.560282888407888,2.64550264550265e-05,0.985649860933823,0.000145502645502645,1,0.0025,0.674254963143852,8.81834215167548e-06,0.611533571223494,2.20458553791887e-05,0.682420680690577,2.64550264550265e-05,0.400852798210522,1.7636684303351e-05,0.340621030603759,8.81834215167548e-06,0.450952523710561,0.000110229276895944,0.395589960597255,4.85008818342152e-05,0.513058212069659,0.000132275132275132,1.65123664443392,3.52733686067019e-05
"14",15,"BH",3.42875738624,0.125547924079,42,13,28,38,2,52,47,50,9,7,26,506,2,30,7,4,1,57,19,48,2,1.0512846857083,0.000207509881422925,0.682326510094048,6.42292490118577e-05,0.822088702016614,0.000138339920948617,0.557290613376098,0.000187747035573123,0.372515902719827,9.88142292490119e-06,0.823161282404208,0.000256916996047431,0.673132289074318,0.000232213438735178,0.818500219587176,0.00024703557312253,0.444807231040331,4.44664031620553e-05,0.732464685141933,3.45849802371541e-05,0.870191055808265,0.000128458498023715,1,0.0025,0.755538664234316,9.88142292490119e-06,4.11153598676349,0.000148221343873518,0.892136917543116,3.45849802371541e-05,0.44917694977345,1.97628458498024e-05,0.190842020111,4.94071146245059e-06,1.152121313344,0.000281620553359684,0.765664866244021,9.38735177865613e-05,0.919854565196826,0.000237154150197628,0.462574692388357,9.88142292490119e-06
