"","OBJECTID","post_4","Shape_Leng","Shape_Area","arsenal","astonvilla","chelsea","everton","fulham","liverpool","manchestercity","manchesterunited","newcastleunited","norwichcity","queensparkrangers","random","reading","southampton","stokecity","sunderland","swanseacity","tottenhamhotspur","westbromwichalbion","westhamunited","wiganathletic","arsenal_lq","arsenal_norm","astonvilla_lq","astonvilla_norm","chelsea_lq","chelsea_norm","everton_lq","everton_norm","fulham_lq","fulham_norm","liverpool_lq","liverpool_norm","manchestercity_lq","manchestercity_norm","manchesterunited_lq","manchesterunited_norm","newcastleunited_lq","newcastleunited_norm","norwichcity_lq","norwichcity_norm","queensparkrangers_lq","queensparkrangers_norm","random_lq","random_norm","reading_lq","reading_norm","southampton_lq","southampton_norm","stokecity_lq","stokecity_norm","sunderland_lq","sunderland_norm","swanseacity_lq","swanseacity_norm","tottenhamhotspur_lq","tottenhamhotspur_norm","westbromwichalbion_lq","westbromwichalbion_norm","westhamunited_lq","westhamunited_norm","wiganathletic_lq","wiganathletic_norm"
"0",1,"AB10",0.221755851165,0.000729944620999,2,1,2,4,0,4,4,3,2,0,8,63,0,0,0,0,0,0,1,2,0,0.40215055502978,0.0000793650793650794,0.421556324334102,0.0000396825396825397,0.47169960499309,0.0000793650793650794,0.471089507006331,0.000158730158730159,0,0,0.508584386135407,0.000158730158730159,0.460103064320342,0.000158730158730159,0.394489055342199,0.000119047619047619,0.793916940798228,0.0000793650793650794,0,0,2.15028185055433,0.000317460317460317,1,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0.323600371440721,0.0000396825396825397,0.307902239232711,0.0000793650793650794,0,0
"1",2,"AB11",0.301637662391,0.000795641881497,5,0,4,5,0,1,5,2,3,0,4,45,0,1,0,0,0,2,0,2,0,1.40752694260423,0.000277777777777778,0,0,1.32075889398065,0.000222222222222222,0.82440663726108,0.000277777777777778,0,0,0.178004535147392,0.0000555555555555556,0.805180362560598,0.000277777777777778,0.368189784986052,0.000111111111111111,1.66722557567628,0.000166666666666667,0,0,1.50519729538803,0.000222222222222222,1,0.0025,0,0,1.54016935150764,0.0000555555555555556,0,0,0,0,0,0,0.454718678068932,0.000111111111111111,0,0,0.431063134925796,0.000111111111111111,0,0
"2",3,"AB12",0.707448447571,0.0108971526555,3,1,3,4,0,4,5,4,2,0,10,46,0,0,0,0,0,2,2,2,0,0.826157118485092,0.00016304347826087,0.577348878979314,0.0000543478260869565,0.96903505808363,0.00016304347826087,0.645187803073888,0.000217391304347826,0,0,0.696539485359361,0.000217391304347826,0.787676441635367,0.000271739130434783,0.720371318450972,0.000217391304347826,1.08732102761497,0.000108695652173913,0,0,3.68118903763377,0.000543478260869565,1,0.0025,0,0,0,0,0,0,0,0,0,0,0.444833489415259,0.000108695652173913,0.886383626120237,0.000108695652173913,0.421692197210018,0.000108695652173913,0,0
"3",4,"AB13",0.195196391706,0.0013548933505,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5,"AB14",0.312419493767,0.002427279772,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,"AB15",0.544281810895,0.00698215947,4,2,2,6,1,6,8,8,4,1,18,43,1,0,0,1,0,1,2,4,1,1.17839464962215,0.000232558139534884,1.23525806665342,0.000116279069767442,0.691094770106155,0.000116279069767442,1.03530135842089,0.000348837209302326,2.19254402728369,0.0000581395348837209,1.11770289511153,0.000348837209302326,1.34820897917123,0.000465116279069767,1.54125956505789,0.000465116279069767,2.32636126838551,0.000232558139534884,1.23174881078224,0.0000581395348837209,7.08842912362968,0.00104651162790698,1,0.0025,4.43555581990127,0.0000581395348837209,0,0,0,0,1.32087001186702,0.0000581395348837209,0,0,0.237934192012813,0.0000581395348837209,0.948224344221649,0.000116279069767442,0.902225166123759,0.000232558139534884,2.72260961629732,0.0000581395348837209
"6",7,"AB16",0.185229063203,0.0011562513475,5,1,5,11,1,5,9,9,4,2,9,75,0,1,0,1,0,4,8,4,0,0.844516165562539,0.000166666666666667,0.354107312440646,0.0000333333333333333,0.990569170485489,0.000166666666666667,1.08821676118462,0.000366666666666667,1.25705857564265,0.0000333333333333333,0.534013605442177,0.000166666666666667,0.869594791565446,0.0003,0.994112419462342,0.0003,1.33378046054102,0.000133333333333333,1.4124053030303,0.0000666666666666667,2.03201634877384,0.0003,1,0.0025,0,0,0.924101610904585,0.0000333333333333333,0,0,0.757298806803757,0.0000333333333333333,0,0,0.545662413682718,0.000133333333333333,2.17459449608165,0.000266666666666667,0.517275761910955,0.000133333333333333,0,0
"7",8,"AB21",0.876391912566,0.0198659968685,2,1,2,4,1,0,3,5,0,1,9,38,0,0,0,0,0,2,2,2,0,0.666723288602004,0.000131578947368421,0.698896011396012,0.0000657894736842105,0.782028292488544,0.000131578947368421,0.781016814247339,0.000263157894736842,2.48103666245259,0.0000657894736842105,0,0,0.572101836556214,0.000197368421052632,1.09003554765608,0.000328947368421053,0,0,1.39382102272727,0.0000657894736842105,4.01055858310627,0.000592105263157895,1,0.0025,0,0,0,0,0,0,0,0,0,0,0.53848264508163,0.000131578947368421,1.07299070530344,0.000131578947368421,0.510469501885811,0.000131578947368421,0,0
"8",9,"AB22",0.215989840787,0.0015728588385,2,0,2,5,1,3,5,3,1,0,11,19,0,0,0,0,0,3,0,3,0,1.33344657720401,0.000263157894736842,0,0,1.56405658497709,0.000263157894736842,1.95254203561835,0.000657894736842105,4.96207332490518,0.000131578947368421,1.26476906552095,0.000394736842105263,1.90700612185405,0.000657894736842105,1.30804265718729,0.000394736842105263,1.31623071763917,0.000131578947368421,0,0,9.8035876475931,0.00144736842105263,1,0.0025,0,0,0,0,0,0,0,0,0,0,1.61544793524489,0.000394736842105263,0,0,1.53140850565743,0.000394736842105263,0,0
"9",10,"AB23",0.520411725932,0.009085697725,1,0,0,4,0,1,3,0,0,0,5,26,0,1,0,1,0,1,2,1,0,0.487220864747619,0.0000961538461538462,0,0,0,0,1.14148611313073,0.000384615384615385,0,0,0.308084772370487,0.0000961538461538462,0.836148838043698,0.000288461538461538,0,0,0,0,0,0,3.25643645636834,0.000480769230769231,1,0.0025,0,0,2.66567772376323,0.0000961538461538462,0,0,2.18451578885699,0.0000961538461538462,0,0,0.393506548328883,0.0000961538461538462,1.56821718467426,0.000192307692307692,0.373035405224246,0.0000961538461538462,0,0
