post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
AB10,2,1,2,4,0,4,4,3,2,0,8,63,0,0,0,0,0,0,1,2,0
AB11,5,0,4,5,0,1,5,2,3,0,4,45,0,1,0,0,0,2,0,2,0
AB12,3,1,3,4,0,4,5,4,2,0,10,46,0,0,0,0,0,2,2,2,0
AB13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
AB14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
AB15,4,2,2,6,1,6,8,8,4,1,18,43,1,0,0,1,0,1,2,4,1
AB16,5,1,5,11,1,5,9,9,4,2,9,75,0,1,0,1,0,4,8,4,0
AB21,2,1,2,4,1,0,3,5,0,1,9,38,0,0,0,0,0,2,2,2,0
AB22,2,0,2,5,1,3,5,3,1,0,11,19,0,0,0,0,0,3,0,3,0
AB23,1,0,0,4,0,1,3,0,0,0,5,26,0,1,0,1,0,1,2,1,0
AB24,2,0,0,3,1,0,2,3,0,0,16,45,0,0,0,1,1,1,1,2,0
AB25,2,0,0,3,0,0,1,3,0,0,7,35,0,0,0,0,0,1,0,1,0
AB30,1,0,0,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0
AB31,1,0,1,1,0,1,1,0,0,0,2,12,0,0,0,0,0,2,2,0,0
AB32,0,1,1,1,0,3,0,1,1,0,3,19,0,0,1,1,0,1,0,1,0
AB33,2,2,1,3,0,3,3,1,2,0,3,14,0,0,0,0,0,0,2,2,0
AB34,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
AB35,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
AB36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB38,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0
AB39,0,1,0,1,0,0,4,3,0,1,5,16,0,0,0,1,0,2,1,1,0
AB41,4,0,3,1,0,1,4,5,2,0,8,28,1,0,0,2,0,1,1,2,0
AB42,1,0,1,5,0,2,3,2,0,0,4,26,1,0,0,2,0,2,2,1,1
AB43,0,1,0,2,0,0,2,2,0,0,5,15,0,0,0,0,0,0,1,1,0
AB44,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0
AB45,0,0,1,2,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
AB51,4,0,0,4,0,5,2,3,2,0,7,36,0,1,0,0,0,6,0,5,0
AB52,1,0,0,0,0,0,1,0,1,0,2,4,0,0,0,0,0,0,0,1,0
AB53,2,1,0,1,0,1,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0
AB54,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0
AB55,1,0,1,1,0,1,4,1,0,0,1,26,0,0,0,0,1,0,0,0,0
AB56,0,0,0,0,0,0,1,1,1,0,0,11,0,0,0,0,0,1,0,0,0
AL1,6,0,2,4,0,3,6,5,0,1,2,40,0,0,0,0,1,7,1,5,1
